noise_type,metric_type,target,value,success,param_mean,param_var,param_s_vs_p,param_amount,param_strength,param_power,param_num_threshold,param_len_threshold,param_noise_strength,param_stripe_width,param_direction,param_angle,param_intensity,param_gamma,param_factor,param_slope,param_sun_angle,param_sun_azimuth,param_sun_elevation,param_Minnaert_constant_B,param_Minnaert_constant_G,param_Minnaert_constant_R,param_Minnaert_constant_NIR,param_haze,param_rayleigh
gaussian,psnr,10.0,10.126209007272122,False,-49.98319651389333,4994.374102944532,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,11.0,11.008016858310947,True,-39.99843052638409,4374.543484622879,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,12.0,11.998321181927851,True,-38.95638221787585,2954.169510775444,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,13.0,13.0071016865905,True,-42.38909010411636,1543.7554956597437,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,14.0,13.99323064257844,True,-49.9742923994575,45.02889680653581,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,15.0,14.996346308723798,True,48.21132204994161,60.45764398764721,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,16.0,16.006605448731882,True,42.26259572758147,2.618323485281919,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,17.0,16.998339264299315,True,37.15354499705051,4.286707304288044,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,18.0,18.00246127351131,True,-31.525777763827964,4.370709002191989,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,19.0,19.00620476931946,True,29.04288283274173,14.29030084582866,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,20.0,19.999183882915823,True,-24.92324493954681,3.824255865811903,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,21.0,21.009523637633983,True,-22.058017595402905,6.605645962728757,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,22.0,21.99288221394533,True,20.43988864389717,15.954929208036065,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,23.0,23.00455441067593,True,4.728050619926448,315.0984265087052,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,24.0,23.99482629131528,True,16.58901604182427,1.403336719990362,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,25.0,25.001002420473576,True,14.598792484884727,7.601484844546097,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,26.0,26.00587004408663,True,-12.186832734325693,2.073097769556193,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,27.0,27.07967286064862,True,-7.982110201024261,55.24974024156514,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,28.0,27.990414929586407,True,-2.6418521599435296,93.830058504606,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,29.0,28.99175513896621,True,0.1497631488813833,81.96244587700257,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,30.0,30.002128165747884,True,0.2051442555954139,65.11727918934277,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,31.0,31.002030422425207,True,-6.498655122549003,2.5479368076645783,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,32.0,32.00911953593804,True,5.084422902183156,19.819149581443945,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,33.0,32.99513404994867,True,0.4763359447388868,32.67256293301812,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,34.0,33.994521694952915,True,-0.4570854874916101,24.90301826369006,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,35.0,35.01775954451833,True,-3.365015251732208,5.413067784733371,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,36.0,35.99105459706517,True,4.050817464241317,3.719942814226833,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,37.0,36.990487875222094,True,2.869625288893764,7.343090809618833,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,38.0,38.00266384227536,True,-0.0881041781368922,9.878922584212392,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,39.0,38.93083379133808,True,2.493563113670441,4.266859837845427,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,40.0,39.99817708051807,True,0.373670888669241,6.41195967338949,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,41.0,41.00431849327984,True,2.138302105346262,2.3979819592162275,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,42.0,41.99771956318872,True,-0.4486759837423647,3.12401954952582,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,43.0,42.99560546663291,True,1.5151310781730016,2.1499837673144016,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,44.0,43.996473305512666,True,1.3608569331112474,1.7664481855039948,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,45.0,44.91061810132201,True,0.371080974972849,1.9995930662512824,,,,,,,,,,,,,,,,,,,,,,,
gaussian,psnr,46.0,45.94398150459107,True,0.5765915819780708,1.5666935590009132,,,,,,,,,,,,,,,,,,,,,,,
